Student,SAT,ACT
1,1000,24
2,870,21
3,1090,25
4,800,21
5,1010,24
6,880,21
7,860,19
8,1040,24
9,920,17
10,850,22
11,740,16
12,840,17
13,840,19
14,780,22
15,500,10
16,1060,25
17,830,19
18,830,20
19,780,12
20,870,21
21,1440,32
22,1190,30
23,1120,27
24,1120,25
25,490,7
26,800,16
27,590,12
28,800,18
29,1050,23
30,830,16
31,990,24
32,960,27
33,870,18
34,890,23
35,700,16
36,880,21
37,970,21
38,880,24
39,930,22
40,1020,24
41,920,22
42,980,27
43,860,23
44,790,14
45,810,19
46,1030,23
47,420,21
48,620,18
49,1080,23
50,1220,30
51,800,20
52,1150,28
52,1000,19
54,1080,22
55,1140,24
56,970,20
57,1030,25
58,970,20
59,920,21
60,1060,24
,,
,,
,,
