State Name,Murder,HS Grad,Income,Life Expectancy
Alabama,15.1,41.3,3624,69.05
Alaska,11.3,66.7,6315,69.31
Arizona,7.8,58.1,4530,70.55
Arkansas,10.1,39.9,3378,70.66
California,10.3,62.6,5114,71.71
Colorado,6.8,63.9,4884,72.06
Connecticut,3.1,56,5348,72.48
Delaware,6.2,54.6,4809,70.06
Florida,10.7,52.6,4815,70.66
Georgia,13.9,40.6,4091,68.54
Hawaii,6.2,61.9,4963,73.6
Idaho,5.3,59.5,4119,71.87
Illinois,10.3,52.6,5107,70.14
Indiana,7.1,52.9,4458,70.88
Iowa,2.3,59,4628,72.56
Kansas,4.5,59.9,4669,72.58
Kentucky,10.6,38.5,3712,70.1
Louisiana,13.2,42.2,3545,68.76
Maine,2.7,54.7,3694,70.39
Maryland,8.5,52.3,5299,70.22
Massachusetts,3.3,58.5,4755,71.83
Michigan,11.1,52.8,4751,70.63
Minnesota,2.3,57.6,4675,72.96
Mississippi,12.5,41,3098,68.09
Missouri,9.3,48.8,4254,70.69
Montana,5,59.2,4347,70.56
Nebraska,2.9,59.3,4508,72.6
Nevada,11.5,65.2,5149,69.03
NewHampshire,3.3,57.6,4281,71.23
NewJersey,5.2,52.5,5237,70.93
NewMexico,9.7,55.2,3601,70.32
NewYork,10.9,52.7,4903,70.55
NorthDakota,1.4,50.3,5087,72.78
Ohio,7.4,53.2,4561,70.82
Oklahoma,6.4,51.6,3983,71.42
Oregon,4.2,60,4660,72.13
Pennsylvania,6.1,50.2,4449,70.43
RhodeIsland,2.4,46.4,4558,71.9
SouthCarolina,11.6,37.8,3635,67.96
SouthDakota,1.7,53.3,4167,72.08
Tennessee,11,41.8,3821,70.11
Texas,12.2,47.4,4188,70.9
Utah,4.5,67.3,4022,72.9
Vermont,5.5,57.1,3907,71.64
Virginia,9.5,47.8,4701,70.08
Washington,4.3,63.5,4864,71.72
WestVirginia,6.7,41.6,3617,69.48
Wisconsin,3,54.5,4468,72.48
Wyoming,6.9,62.9,4566,70.29
