COUNTY,Gore,Bush,Buchanan
Alachua,47300,34062,262
Baker,2392,5610,73
Bay,18850,38637,248
Bradford,3072,5413,65
Brevard,97318,115185,570
Broward,386518,177279,789
Calhoun,2155,2873,90
Charlotte,29641,35419,182
Citrus,25501,29744,270
Clay,14630,41745,186
Collier,29905,60426,122
Columbia,7047,10964,89
Dade,328702,289456,561
De Soto,3322,4256,36
Dixie,1826,2697,29
Duval,107680,152082,650
Escambia,40958,73029,504
Flagler,13891,12608,83
Franklin,2046,2454,33
Gadsden,9565,4750,39
Gilchrist,1910,3300,29
Glades,1441,1840,9
Gulf,2389,3546,71
Hamilton,1722,2146,23
Hardee,2341,3764,30
Hendry,3239,4743,22
Hernando,32644,30646,242
Highlands,14167,20206,127
Hillsborough,169529,180713,845
Holmes,2154,4985,76
Indian River,19768,28635,105
Jackson,6868,9138,102
Jefferson,3041,2478,29
Lafayette,788,1669,10
Lake,36555,49963,289
Lee,73560,106141,305
Leon,61425,39053,282
Levy,5403,6860,67
Liberty,1011,1316,39
Madison,3011,3038,29
Manatee,49169,57948,272
Marion,44665,55141,563
Martin,26619,33864,108
Monroe,16483,16059,47
Nassau,6952,16404,90
Okaloosa,16924,52043,267
Okeechobee,4588,5058,43
Orange,140115,134476,446
Osceola,28181,26212,145
Pasco,69564,68582,570
Pinellas,200212,184884,1010
Polk,74977,90101,538
Putnam,12091,13439,147
Santa Rosa,12795,36248,311
Sarasota,72854,83100,305
Seminole,58888,75293,194
St. Johns,19482,39497,229
St. Lucie,41559,34705,124
Sumtter,9634,12126,114
Suwannee,4084,8014,108
Taylor,2647,4051,27
Union,1407,2332,29
Volusia,97063,82214,396
Wakulla,3835,4511,46
Walton,5637,12176,120
Washington,2796,4983,88
Palm Beach,268945,152846,3407
TOTAL,2907451,2909176,17356
