Species,Body mass(kg),Brain mass (g),log(10)Body mass (kg),log(10)Brain mass (g)
Aardvark,2.2,9.6,0.342422681,0.982271233
Acouchis,0.78,9.9,-0.107905397,0.995635195
African elephant,2800,4480,3.447158031,3.651278014
Agoutis,2.8,20.3,0.447158031,1.307496038
Axis deer,89,219,1.949390007,2.340444115
Badger,6,53,0.77815125,1.72427587
Barbary sheep,66,210,1.819543936,2.322219295
Barking deer,16,124,1.204119983,2.093421685
Bat-eared fox,3.2,28.5,0.505149978,1.45484486
Beaked whale,250,500,2.397940009,2.698970004
Beaver,25,45,1.397940009,1.653212514
Black buck antelope,39,200,1.591064607,2.301029996
Bush baby,0.7,9.9,-0.15490196,0.995635195
Canadian beaver,20,40,1.301029996,1.602059991
Capybara,30,76,1.477121255,1.880813592
Caribou,110,288,2.041392685,2.459392488
Cattle,520,456,2.716003344,2.658964843
Chimpanzee,45,360,1.653212514,2.556302501
Chinchilla,0.43,5.25,-0.366531544,0.720159303
Deer mouse I,0.027,0.68,-1.568636236,-0.167491087
Deer mouse II,0.026,0.63,-1.585026652,-0.200659451
Deer mouse III,0.017,0.52,-1.769551079,-0.283996656
Deer mouse IV,0.024,0.69,-1.619788758,-0.161150909
Dog,8.5,70.2,0.929418926,1.846337112
Dolphin,160,1600,2.204119983,3.204119983
Domestic cat,2.5,28.4,0.397940009,1.45331834
Domestic goat,30,106,1.477121255,2.025305865
Domestic pig,190,180,2.278753601,2.255272505
Domestic sheep,49,125,1.69019608,2.096910013
Duikers,13,93,1.113943352,1.968482949
Eland,560,480,2.748188027,2.681241237
Elephant shrew I,0.049,1.14,-1.30980392,0.056904851
Elephant shrew II,0.064,1.37,-1.193820026,0.136720567
Elk,120,365,2.079181246,2.562292864
Fallow deer,80,223,1.903089987,2.348304863
Flying squirrel,0.052,1.89,-1.283996656,0.276461804
Fur seal,250,355,2.397940009,2.550228353
Gentle lemur,0.22,7.8,-0.657577319,0.892094603
Gray fox,3.8,37.3,0.579783597,1.571708832
Grizzly bear,250,400,2.397940009,2.602059991
Guinea pig,0.97,4.28,-0.013228266,0.631443769
Hamadryas baboon,21,183,1.322219295,2.26245109
Hamster I,0.036,0.67,-1.443697499,-0.173925197
Hamster II,0.13,1.12,-0.886056648,0.049218023
Harp seal,110,442,2.041392685,2.645422269
Hedgehog,0.93,3.5,-0.031517051,0.544068044
Hippopotamus,1400,590,3.146128036,2.770852012
Hopping mouse,0.15,1.18,-0.823908741,0.071882007
Horse,480,712,2.681241237,2.852479994
House mouse,0.024,0.45,-1.619788758,-0.346787486
Howler monkey,7.7,54,0.886490725,1.73239376
Human being,65,1300,1.812913357,3.113943352
Hyrax,3.8,20.5,0.579783597,1.311753861
Jack rabbit,2.9,13.3,0.462397998,1.123851641
Kinkajou,2,31.2,0.301029996,1.494154594
Leaf monkey,5.8,65.5,0.763427994,1.8162413
Lemur,2.1,22,0.322219295,1.342422681
Leopard,46,157,1.662757832,2.195899652
Lion,180,260,2.255272505,2.414973348
Llama,93,225,1.968482949,2.352182518
Long-nose armadillo,3.7,12,0.568201724,1.079181246
Lynx,12,75,1.079181246,1.875061263
Nutria,5,23,0.698970004,1.361727836
Orangutan,37,343,1.568201724,2.53529412
Porcupine I,11,37,1.041392685,1.568201724
Porcupine II,14,37,1.146128036,1.568201724
Porcupine III,6.6,24,0.819543936,1.380211242
Porpoise,56,537,1.748188027,2.729974286
Pygmy gerbil,0.065,1.04,-1.187086643,0.017033339
Pygmy hippopotamus,150,260,2.176091259,2.414973348
Quokka,3.5,17.5,0.544068044,1.243038049
Raccoon,5.3,41.6,0.72427587,1.619093331
Rat I,0.05,0.72,-1.301029996,-0.142667504
Rat II,0.34,2.38,-0.468521083,0.376576957
Red deer,200,435,2.301029996,2.638489257
Red fox,6,48,0.77815125,1.681241237
Rhesus monkey I,6,84.6,0.77815125,1.927370363
Rhesus monkey II,8.7,107,0.939519253,2.029383778
Ring-tail monkey,3.7,73,0.568201724,1.86332286
Sambar,120,383,2.079181246,2.583198774
Sea lion,100,363,2,2.559906625
Slow loris,1.2,12.8,0.079181246,1.10720997
Spider monkey I,9.1,114,0.959041392,2.056904851
Spider monkey II,7.7,109,0.886490725,2.037426498
Tapir,230,250,2.361727836,2.397940009
Tiger,210,302,2.322219295,2.480006943
Tree shrew,0.15,3.15,-0.823908741,0.498310554
Tree squirrel,0.33,6.23,-0.48148606,0.794488047
Vervet guenon,4.6,67,0.662757832,1.826074803
Vicuna,45,198,1.653212514,2.29666519
Weddell seal,400,550,2.602059991,2.740362689
Western baboon,32,179,1.505149978,2.252853031
White-handed gibbon,5.5,102,0.740362689,2.008600172
Wild boar,150,185,2.176091259,2.267171728
Yak,250,334,2.397940009,2.523746467
